!File Type,Version Number Major,Version Number Minor,Version Number Build,
~Stock Code File,1,5,1,
!Last Updated,20040313,,,
!Code,Desc, Hire , Sale ,Kg
155723,"U"" PRESSING EARED OLD TYPE""", $-   , $-   ,
155724,M/S LED. END WITH WEDGE BLK, $-   , $-   ,
155730,KWIKSNAP FRAME SPIGOT CAST., $-   , $-   ,
155731,KWIKSNAP TEE JOINER CASTING, $-   , $-   ,
155732,K/SNAP PLY 2400X560X15MM, $-   ,$31.62,
155733,K/SNAP PLY 1842X560X15MM, $-   ,$32.71,
155734,K/SNAP PLY 1800X560X15MM, $-   ,$32.90,
155735,K/SNAP PLY 624X560X15MM, $-   ,$14.62,
155736,K/SNAP PLY 612X560X15MM, $-   ,$10.23,
155737,K/SNAP BEV PLY 1504X560X15MM, $-   ,$35.09,
155738,K/SNAP BEV PLY 1504X560X15MM, $-   ,$37.10,
